id	firstName	lastName	birthDate	birthPlace	motherName	gender	postalCode	email	phone	membership	joinedAt
c053c322-1608-4fa6-808a-30db939090cd	Jasen	Bartell	1986-04-29	Chapel Hill	Jackie Macejkovic	F	13519	jody.nicolas81@yahoo.com	953	normal	2023-02-27
d0144cab-be64-426f-ac60-71d884290d7a	Alice	Spencer	1984-08-02	Burlington	Dr. Lloyd Will	M	87045	alexander.emard@yahoo.com	16958927951	normal	2023-02-14
c954196c-7378-4d38-bafc-a0e13930de00	Isac	Cronin	1952-02-18	Lake Jayme	Michael Klocko Jr.	F	22545	lilly.sawayn@gmail.com	564	normal	2023-06-30
1a0fee07-b951-4e4d-9ded-f0842e810a29	Brock	Ledner	1985-01-17	Rogahnfort	Simon Hayes	F	69220	lisa.ferry64@hotmail.com	19018938378	normal	2022-12-08
ca9d1128-0257-47b5-b687-a6e15f1d377f	Avery	Swift	1994-12-29	Coletown	Mandy Fritsch	F	90696	tanya31@yahoo.com	16245672717	normal	2023-12-21
bfa0e468-5abb-4cea-b1da-4ac74a4509d9	Theron	Franecki	1941-12-13	Port Raleigh	Emanuel Reilly	F	43282	maiya.carter@hotmail.com	3142062598	normal	2021-12-16
594dd514-bcd9-49b1-b372-f5a3f2fd336c	Carolyne	VonRueden	1967-11-16	Wehnerberg	Dr. Mindy Wunsch		99546	coleman.paucek@gmail.com	15597115743	normal	2023-10-02
212a9038-ed34-45b9-a593-86007d49b2f9	Margaret	Kautzer	1986-09-22	Monafield	Ellen Wintheiser		81250	rupert.ankunding60@gmail.com	14887421614	normal	2023-06-24
bebf5d7f-703b-41ee-ab20-e8ae47f9eb09	Mia	Hoeger	1999-02-18	Citlalliworth	Arthur Labadie	F	71103	judson.hauck63@yahoo.com	8779789921	normal	2021-03-27
7f94cee3-4996-4d00-bac1-60c8b0c963be	Jaqueline	Beer	1933-09-28	Fort German	Dave Hyatt		65259	brielle.kulas@yahoo.com	617	normal	2023-04-06
37d9c1dc-5598-4f72-8aa0-1e0a827a6dd3	Eldridge	Ebert	1966-01-31	Mohrchester	Tomas Greenholt		25712	leta60@yahoo.com	12835191365	gold	2025-04-07
5da6a569-edf9-47bd-b0c6-1fa50105f28a	Jakob	Goyette	1968-10-06	East Elise	Lula Wilkinson	M	94262	alexie_willms16@yahoo.com	6019193670	vip	2024-11-15
ce7d6f89-004a-4bdb-b4ed-55b7cc4ea3a7	Winifred	VonRueden	1973-03-12	Justynstead	Ernesto Ward	F	84059	myles_stroman56@hotmail.com	12729301386	normal	2021-06-07
6a1c41dd-7918-4e96-b6bf-1328720fb002	Gus	Funk	1995-01-21	Orem	Wanda O'Conner V	M	24028	dominique_funk@hotmail.com	3726270296	gold	2022-02-09
fa27b82f-7ebe-426f-9d65-aea088fdbb9e	Tiana	Cruickshank	1970-01-19	Kirkland	Frankie Predovic		76138	trever75@hotmail.com	5055253544	normal	2022-12-13
51a832ea-fbcd-40c0-8b47-72d9740a038f	Tate	Heaney	1988-02-16	Marianobury	Gwendolyn Huels	M	12783	meredith85@gmail.com	6968627176	normal	2022-01-19
63b311a1-4a2f-4ec8-9bc1-c42be611d421	Brandi	Mohr	1963-01-21	Fort Clara	Gustavo Johns	M	66178	darius.marvin-dach3@hotmail.com	7697004201	normal	2021-09-22
7960fa39-00bd-4ec8-aa03-53ec413e146a	Dedrick	Morar	1966-11-08	Doriston	Beatrice Wiza	M	13072	courtney.hintz@gmail.com	12413728047	vip	2020-09-25
5b1bc398-e617-4554-a950-c9d10bf3ddb5	Neva	Luettgen	1961-11-10	South Camryn	Pam Macejkovic	M	16002	demetrius_fadel-bahringer@hotmail.com	5516180722	normal	2022-04-22
bd803c2f-7802-4305-9082-e62cbccb2ab7	Charlene	Watsica	1954-04-13	Robertstown	Dr. Sonia Waelchi	F	92552	tyrese_kuvalis79@gmail.com	992	gold	2024-01-06
