transactionDate	amount	type	accountNumber	description	id
2025-05-03 03:32:48	80.7	credit	838876037085146962430114	Ergonomic executive ...	c2e9361f-93c7-4b66-b0bc-86c8817a0fc9
2025-04-26 02:33:43	708.86	debit	098215701645267268820488	The Football Is Good...	dfe7f580-3ba5-4fd8-99bd-1a470a9f876c
2025-04-20 05:30:11	655.79	debit	243311971185270978583857	The beautiful range ...	ef2c65d3-2b79-4162-81de-30694554ef3b
2025-03-29 15:39:33	189.47	credit	5787026173957908	Andy shoes are desig...	dd7fe932-fa07-46be-932b-b36362db50c8
2025-02-23 20:47:34	623.52	debit	845735010145598600986260	The automobile layou...	1c42b224-d3ce-437d-bcce-88e359b9a004
2025-02-07 03:40:48	204.43	credit	875690858401324733592038	Ergonomic executive ...	90f6a575-4c86-4b37-badd-22b6859f19b9
2025-02-01 19:15:04	678.89	debit	PS9543M0500180074008005002007	The Football Is Good...	fece92d0-a141-46bb-bd3a-ea0ce993281a
2025-01-31 21:10:04	824.79	credit	6562081419875071	Boston's most advanc...	9430dc99-c3db-4ed6-8ad9-9d77f7015dd7
2025-01-21 14:08:12	795.44	credit	4328631558468841	The Nagasaki Lander ...	d7bcd600-8f1f-45d6-b66f-f94342bdb272
2025-01-20 02:05:11	851.58	credit	4374869010235787	Andy shoes are desig...	c8a9de7c-6d21-42c5-95d3-ae1816e0850e
2025-01-19 20:07:24	24.87	credit	1863345194728294	Ergonomic executive ...	2b7cd79e-024c-47bd-b426-c3b3fd617bc0
2024-12-16 07:26:20	946.94	credit	0510278328906293	The Football Is Good...	24fc6f27-fa96-4d5f-ac03-cc221d163291
2024-10-29 08:07:23	559.89	debit	XK870503264151500224	Andy shoes are desig...	acdea4a8-3d53-44ab-a354-5ffbe17f8503
2024-10-06 12:22:15	430.69	credit	0864699917426668	The automobile layou...	34b920bc-2f26-4625-84ca-fa92099aa883
2024-10-02 15:25:28	827.21	debit	2333611602602649	The beautiful range ...	d7fdd682-36c7-4d42-adae-6fe74900c8d7
2024-09-25 01:07:17	408.49	debit	BE41008880907693	The automobile layou...	4b1f1e0e-08ff-49d3-b979-e678a166a69d
2024-09-18 14:09:18	850.34	debit	PT72090187690005948082382	The beautiful range ...	3574b8ce-33df-43df-886f-d58c66883990
2024-09-06 11:01:47	622.41	debit	6721605644185805	Boston's most advanc...	a9216540-7809-4fc9-9930-ef9de4c1f7cb
2024-08-29 10:05:01	184.8	credit	TN4700927765505500010055	The automobile layou...	27392285-7fd9-48e8-b956-6675ca7a7922
2024-08-24 23:00:54	443.2	credit	GL4200220076278944	The automobile layou...	e8ef7c83-77c8-4a68-af16-c62e7a562f88
2024-08-21 15:18:04	805.3	credit	KW17CVYM71N985713A0236UNH327S8	The Football Is Good...	9c84523b-1e92-42e3-b3ed-8e5ddc930f86
2024-08-15 20:34:18	71.24	debit	2655986967575236	The Nagasaki Lander ...	f302c246-a762-48f5-a429-9c52abdb507d
2024-07-22 07:31:44	153.45	debit	2195175537919565	Andy shoes are desig...	27811d50-a446-4a81-ae46-4a0a02d111c8
2024-07-16 14:08:43	219.82	credit	1611829439335705	The automobile layou...	611f764f-68a7-4102-b396-b49f12c0546b
2024-06-30 14:37:15	561.68	debit	4588630825572537	The Nagasaki Lander ...	6570b1bc-f184-4133-a9ff-66fa4defd583
2024-06-24 20:17:41	959.87	debit	481487192562547144547715	The Apollotech B340 ...	9423a983-4d9b-4c78-b20e-04e2857dab01
2024-06-19 05:35:29	760.2	debit	0971994028587706	The Nagasaki Lander ...	7f7e6d94-98de-4c62-a86d-3ff0846014e9
2024-06-12 03:11:51	324.07	debit	TN2860091104136010623945	The Football Is Good...	41c9bcda-74f9-4288-b7d3-65187824fe4e
2024-05-22 08:51:44	117.07	debit	2656564330681697	Boston's most advanc...	0d9539fb-cf09-4fab-8fe0-a64276f5e1e4
2024-05-21 15:07:36	579.23	debit	3769471901468582	The Nagasaki Lander ...	0cfbd08c-3d96-4cd1-b986-27fe2c843c4b
2024-05-18 16:30:27	461.76	debit	4954366706820073	New ABC 13 9370, 13....	2e0e361b-8da1-4646-afac-eabff9da7fb2
