id	firstName	lastName	birthDate	birthPlace	motherName	gender	postalCode	email	phone	membership	joinedAt
321330e1-b5e0-44ee-9022-3ea73837db11	Jettie	Welch	1933-11-23	South Bret	Felix Huels	F	05333	felicity21@gmail.com	9069331838	normal	2025-01-21
63dc0152-70b0-44b6-b7a3-71861bf6b098	Aubree	Haley	1956-03-01	North Zoie	Joey Marquardt	M	77258	desmond.gerhold@yahoo.com	6902188329	normal	2022-12-12
c45b69e1-6e67-4e44-ab25-b6646d558bfd	Myrtie	Bode	1947-09-21	Vancechester	Ida Willms		57749	myrtis_muller84@gmail.com	5777211001	normal	2023-11-23
0ac15700-dd34-4370-bd9f-4184f47fc799	Dayne	Hane	1937-07-04	Keeblershire	Dale Emmerich	M	52871	dorian22@hotmail.com	18019869600	vip	2023-02-26
a1031c61-7a74-4d71-a84d-77277701e658	Mckenzie	Mante	2000-12-30	Funkchester	Katherine Franecki	M	64346	clinton_baumbach32@gmail.com	8333030111	vip	2024-05-22
44a6cb39-b907-4d89-8031-7ff4efddfcb9	Bartholome	Hermiston	1949-01-25	Rashawnbury	Lawrence Dickens	M	26703	milan_murazik61@hotmail.com	13006292024	normal	2022-04-28
c342c951-4258-4381-bac6-a6b91a52a934	Kayla	Christiansen	1947-05-27	Lindberg	Claude Hackett	F	33271	evangeline.hilll@gmail.com	9065806535	gold	2022-03-23
d8a382fc-3081-4095-aab1-a5baf0bd46ed	Aubree	McCullough	1956-12-01	Evanston	Dave Hartmann	M	97375	rebeka_mohr84@hotmail.com	9982697847	normal	2022-11-13
60031e51-d20d-4c7b-b4cf-ca608980da19	Evangeline	Sawayn	1936-02-27	Pollichport	Preston Gerlach	M	45218	schuyler.borer@yahoo.com	448	normal	2024-08-07
79bac66f-c383-4462-a250-67d831f3b695	Owen	Koss	1983-10-12	Lake Jeffry	Frankie Kessler	F	57692	terrence_gibson-lind44@gmail.com	4777504344	normal	2022-10-20
af1ddfd8-5ceb-46fd-96a0-fead1d56f943	Garfield	Bechtelar	1992-08-19	West Dino	Willie Nitzsche		13199	rafael.lindgren@yahoo.com	9412010866	normal	2021-08-29
b3945357-dec0-40f0-9949-7f65c4386518	Sarai	Bogan	1964-05-14	Lake Lillyhaven	Ramona Nicolas	M	53858	danyka_kshlerin44@yahoo.com	3299204281	normal	2021-02-08
85f9ba3d-39f6-46df-b961-7a538ede7b12	Millie	Robel	1939-11-21	Henderson	Tami Wintheiser	F	82214	johnson93@hotmail.com	600	normal	2021-11-01
ebbce825-e285-4f2d-9760-535d78ced1c7	Dante	Skiles-Ernser	1930-05-01	Schultzfort	Stella Ryan	M	92302	alec90@yahoo.com	3223435140	gold	2024-05-09
91951079-cd1b-46e5-81f6-2b47cd429842	Gardner	Heaney	1983-06-10	New Bettie	Anthony Kuvalis	M	80102	raoul_gerlach@hotmail.com	5979449025	normal	2022-05-06
c5c94631-b4ff-404f-8193-16420accd5d5	Euna	Pfannerstill	2001-09-13	East Caylahaven	Marcia Hagenes		93846	ralph.hahn@gmail.com	665	normal	2023-03-27
09b63eec-30be-4fda-8734-6cc0aae52255	Edna	Koss	1991-01-31	Stiedemannport	Kate Brakus	F	68700	sedrick.waelchi@hotmail.com	4525812326	gold	2021-04-14
